taxon_name,id,url
Juncus capillaceus,5d2bfde0-2dc9-4f2c-b61b-2cc2ce02796d,https://vicflora.rbg.vic.gov.au/flora/taxon/5d2bfde0-2dc9-4f2c-b61b-2cc2ce02796d
Juncus capitatus,d86b975d-bca3-49b7-894f-65b2929670bb,https://vicflora.rbg.vic.gov.au/flora/taxon/d86b975d-bca3-49b7-894f-65b2929670bb
Juncus continuus,9a6b1a9a-9be5-4686-bc33-018b4cf680ad,https://vicflora.rbg.vic.gov.au/flora/taxon/9a6b1a9a-9be5-4686-bc33-018b4cf680ad
Juncus dichotomus,17436075-7c60-40e5-b52b-bfae96d87f0e,https://vicflora.rbg.vic.gov.au/flora/taxon/17436075-7c60-40e5-b52b-bfae96d87f0e
Juncus effusus,2e56cf73-efee-4d2a-b284-712ecf0b0760,https://vicflora.rbg.vic.gov.au/flora/taxon/2e56cf73-efee-4d2a-b284-712ecf0b0760
Juncus effusus subsp. effusus,00011470-34a1-45e8-bc11-7bd2befda11f,https://vicflora.rbg.vic.gov.au/flora/taxon/00011470-34a1-45e8-bc11-7bd2befda11f
Juncus ensifolius,2f7eaf63-2c54-44df-aa1d-d5902197170e,https://vicflora.rbg.vic.gov.au/flora/taxon/2f7eaf63-2c54-44df-aa1d-d5902197170e
Juncus falcatus,cd90c80c-1a18-4611-a623-4b9691a8483d,https://vicflora.rbg.vic.gov.au/flora/taxon/cd90c80c-1a18-4611-a623-4b9691a8483d
Juncus falcatus subsp. falcatus,2f8b0856-eb4e-4eb5-8e30-bc5956dfa9be,https://vicflora.rbg.vic.gov.au/flora/taxon/2f8b0856-eb4e-4eb5-8e30-bc5956dfa9be
Juncus filicaulis,08e93021-94af-4527-bc6c-d66be75c3a99,https://vicflora.rbg.vic.gov.au/flora/taxon/08e93021-94af-4527-bc6c-d66be75c3a99
Juncus flavidus,4a2c2ad2-abb2-4297-af03-5263a857f733,https://vicflora.rbg.vic.gov.au/flora/taxon/4a2c2ad2-abb2-4297-af03-5263a857f733
Juncus fockei,8f13a317-71c3-441e-92b3-0f6675f5cfe5,https://vicflora.rbg.vic.gov.au/flora/taxon/8f13a317-71c3-441e-92b3-0f6675f5cfe5
Juncus fontanesii,ebfde18d-26af-41fe-b99d-1d75d210d6c0,https://vicflora.rbg.vic.gov.au/flora/taxon/ebfde18d-26af-41fe-b99d-1d75d210d6c0
Juncus fontanesii subsp. fontanesii,ff46eb9f-d303-4b2f-9572-22c0f8c94f4f,https://vicflora.rbg.vic.gov.au/flora/taxon/ff46eb9f-d303-4b2f-9572-22c0f8c94f4f
Juncus gerardii,4247c0c9-cf3f-423b-8816-33ae5687380a,https://vicflora.rbg.vic.gov.au/flora/taxon/4247c0c9-cf3f-423b-8816-33ae5687380a
Juncus gerardii subsp. gerardii,3aa105c5-f23f-4524-b8ed-d1c7cae24446,https://vicflora.rbg.vic.gov.au/flora/taxon/3aa105c5-f23f-4524-b8ed-d1c7cae24446
Juncus gregiflorus,f5908b70-9955-4560-98a1-6b4333a2b7b1,https://vicflora.rbg.vic.gov.au/flora/taxon/f5908b70-9955-4560-98a1-6b4333a2b7b1
Juncus holoschoenus,cbe86db4-ad1f-4a6e-8fd5-0c371683a6a1,https://vicflora.rbg.vic.gov.au/flora/taxon/cbe86db4-ad1f-4a6e-8fd5-0c371683a6a1
