taxon_name,url,original_name,aligned_name,accepted_name,taxon_rank,taxonomic_status,aligned_reason
Ptilotus spicatus,http://eflora.nt.gov.au/factsheet?id=198,Ptilotus spicatus,Ptilotus spicatus,Ptilotus spicatus,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Pupalia lappacea,http://eflora.nt.gov.au/factsheet?id=204,Pupalia lappacea,Pupalia lappacea,Pupalia lappacea,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Blepharocarya depauperata,http://eflora.nt.gov.au/factsheet?id=207,Blepharocarya depauperata,Blepharocarya depauperata,Blepharocarya depauperata,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Buchanania arborescens,http://eflora.nt.gov.au/factsheet?id=209,Buchanania arborescens,Buchanania arborescens,Buchanania arborescens,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Buchanania obovata,http://eflora.nt.gov.au/factsheet?id=210,Buchanania obovata,Buchanania obovata,Buchanania obovata,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Mangifera indica,http://eflora.nt.gov.au/factsheet?id=212,Mangifera indica,Mangifera indica,Mangifera indica,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Rhus taitensis,http://eflora.nt.gov.au/factsheet?id=214,Rhus taitensis,Rhus taitensis,Rhus taitensis,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Semecarpus australiensis,http://eflora.nt.gov.au/factsheet?id=216,Semecarpus australiensis,Semecarpus australiensis,Semecarpus australiensis,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Annona reticulata,http://eflora.nt.gov.au/factsheet?id=219,Annona reticulata,Annona reticulata,Annona reticulata,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
Desmos wardianus,http://eflora.nt.gov.au/factsheet?id=224,Desmos wardianus,Desmos wardianus,Desmos wardianus,species,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-01-08)
